shotnum,tstart,tend,ip,bcentr,density,ptot,rsurf,kappa,aminor,wmhd,wfast,wdot,pinj,pnbi,echpwrc,vloop,betan,taue,tauth,h_thh98y2,h_l89,cerqrott6,q95,tste_core,tsne_core,cerqtit6,cerqnzt6,n1rms,n2rms,nm1rms,tok,tinj,zefft6,ceratit6,cerarott6,nbvac21lt,nbvac21rt,pohm,pech,vsurf,area
193755,1600,2000,595291.625,-2.016687393188477,30650432588207.85,1238478.0,1.721582293510437,1.4026827812194824,0.5632472038269043,164630.703125,16849.697265625,50084.78515625,1279.823974609375,1087913.375,-45.6999130490988,0.5553901195526123,0.9228955507278442,0.1441050320863723,0.1293237805366516,1.0706369876861572,1.7989407777786257,-40.97160339355469,4.444719314575195,652.1344604492188,3.0428392761445057e+19,794.5682983398438,6.316407054160364e+17,0.0619068965315818,0.0030995798297226,0.3652413189411163,NT,1.1882202625274658,1.6306196451187134,808.6682739257812,-41.02378845214844,-0.0004400114994496,-0.0005710743716917,,-300.2981262207031,0.3528928756713867,1.2891875505447388
193755,2240,2740,592877.0625,-2.0173847675323486,30292102337558.12,2696497.0,1.732184648513794,1.408694624900818,0.5596129298210144,273024.375,69242.640625,14919.8759765625,2941.655029296875,2748306.5,-164.82712090414722,0.2424430102109909,1.5588961839675903,0.1019008234143257,0.076053112745285,1.1523085832595823,1.9579923152923584,-60.35310363769531,4.410289287567139,923.2728881835938,2.9659590042048262e+19,1165.2098388671875,6.952012048750346e+17,0.1714331209659576,0.0131548000499606,0.8433617949485779,NT,2.802239179611206,1.6882216930389404,1186.88232421875,-60.342166900634766,-0.0004816094296984,-0.0006208659615367,106588.0546875,-10.166288375854492,0.2036528289318084,1.2640247344970703
193755,3220,3700,592790.9375,-2.0200343132019043,30762537924816.617,4416095.5,1.7341866493225098,1.4034968614578247,0.5607368350028992,364932.125,139666.859375,11455.056640625,4836.5283203125,4619357.0,-106.22713492123016,0.1896310448646545,2.102001905441284,0.082862265408039,0.0511508621275424,1.0930083990097046,2.0381975173950195,-59.468482971191406,4.44959831237793,1097.143310546875,2.96957046009742e+19,1414.8734130859375,9.973245289189868e+17,0.8341436982154846,0.0572097450494766,1.082532525062561,NT,4.006678104400635,1.9744415283203125,1449.2545166015625,-59.83467483520508,-0.0006196720642037,-0.000820665678475,83754.90625,152.9702606201172,0.1332537531852722,1.2521138191223145
193757,1650,1980,594556.0625,-2.01607084274292,34617668063030.977,2344275.75,1.7321747541427612,1.3898649215698242,0.5684732794761658,238900.953125,40468.4453125,23102.865234375,2328.582763671875,2343202.5,-17166.923490707195,0.4797081649303436,1.3526805639266968,0.1029789224267005,0.0855367332696914,1.1076072454452517,1.813053727149964,-49.945899963378906,4.439877033233643,765.009765625,3.409208425245049e+19,977.4637451171876,7.722961427161416e+17,0.0897440984845161,0.0059534539468586,0.8625697493553162,NT,2.212033987045288,1.6359068155288696,995.5272216796876,-49.93745803833008,-0.0009221825748682,-0.0009908896172419,161351.53125,-17480.48046875,0.2598165571689605,1.2858257293701172
193757,3800,4260,591652.0625,-2.02133584022522,50582295114323.98,6385596.0,1.744632124900818,1.3840603828430176,0.5673628449440002,443731.03125,98204.3359375,17276.201171875,6958.7470703125,6742542.0,-17134.867912731122,0.1857599914073944,2.597379684448242,0.0696962401270866,0.0542743504047393,1.229200005531311,1.9579744338989256,-68.26634216308594,4.502648830413818,1092.620361328125,4.254241385307177e+19,1507.3665771484375,1.3494985156125e+18,1.7904767990112305,0.1902325600385666,1.0555635690689087,NT,6.084216117858887,1.8764933347702024,1548.22021484375,-68.3933334350586,-0.0013913819566369,-0.001536110881716,82454.78125,-17545.54296875,0.1283503025770187,1.243979573249817
193757,2820,3500,591833.875,-2.019418716430664,49306027618431.93,5559084.0,1.7434663772583008,1.3853915929794312,0.5670632719993591,397362.28125,82047.15625,29633.3515625,5914.6064453125,5837411.5,-17133.78172654182,0.2472145855426788,2.3145201206207275,0.0719045847654342,0.0570613555610179,1.1822065114974976,1.8865567445755005,-56.11938095092773,4.463927745819092,984.7021484375,4.45061372222332e+19,1289.6483154296875,1.3648115514914898e+18,1.2433735132217407,0.1175962314009666,0.866944432258606,NT,5.058524131774902,1.8635777235031128,1322.54443359375,-56.23680114746094,-0.0010854764841496,-0.0011879676021635,101149.953125,-17238.138671875,0.1637887060642242,1.2501873970031738
193757,4340,4700,591686.25,-2.021930932998657,51403059990998.18,7516838.0,1.7459648847579956,1.3891581296920776,0.5674209594726562,476474.59375,121252.6484375,8847.634765625,7967.2890625,7946300.5,-17125.051276447608,0.1832446902990341,2.7842304706573486,0.0634751692414283,0.0473215393722057,1.196054220199585,1.9296256303787231,-72.96771240234375,4.5509443283081055,1204.6236572265625,4.229368233263628e+19,1664.013671875,1.3501978050077655e+18,1.9779096841812127,0.3920535743236542,1.3098113536834717,NT,6.71856689453125,1.8851698637008667,1710.2615966796875,-73.22758483886719,-0.0015451381914317,-0.0017234069528058,68722.90625,-16738.994140625,0.1126772761344909,1.2452940940856934
193759,3000,3520,590390.625,-1.21717369556427,48960577529942.89,5640525.5,1.7440921068191528,1.387728571891785,0.5670728087425232,336727.53125,71205.140625,18766.7265625,5947.296875,5851438.0,-51.38717200102548,0.3237043619155884,3.2619705200195312,0.0599227808415889,0.047252632677555,1.0695277452468872,1.756225824356079,-59.80120849609375,2.7048985958099365,913.0319213867188,5.014290232928266e+19,1248.602783203125,1.297661352726233e+18,5.431607723236084,0.6104363799095154,1.9334243535995483,NT,5.09086799621582,1.7600212097167969,1290.0762939453125,-60.084617614746094,-0.0006861483561806,-0.000804973882623,161282.09375,774.0254516601562,0.2586480975151062,1.2517540454864502
193759,3830,4140,589382.8125,-1.2180964946746826,49480083670702.76,6461117.0,1.7426631450653076,1.3896578550338743,0.5676550269126892,340255.09375,80867.625,-17421.70703125,6899.80029296875,6732271.5,-64.65260293717886,0.276858776807785,3.299504280090332,0.052550584077835,0.0400605760514736,0.9996607303619384,1.6569647789001465,-63.71321487426758,2.7315356731414795,898.7736206054688,4.888769985501358e+19,1269.7589111328125,1.339864594729927e+18,6.032640933990479,0.6578251123428345,2.1560137271881104,NT,6.030633926391602,1.784566044807434,1311.2919921875,-63.94937133789063,-0.000926976557821,-0.0011138904374092,158026.6875,628.2205810546875,0.2591583728790283,1.2543375492095947
193761,3340,4020,588123.3125,-1.2164437770843506,59869513530269.95,4488600.0,1.7415082454681396,1.395350456237793,0.566951334476471,306643.84375,34036.26953125,531.2516479492188,4811.69140625,4583823.0,-37.61703349120406,0.3794173002243042,2.959298610687256,0.0683806240558624,0.060792963951826,1.0849146842956543,1.7616736888885498,-49.9081916809082,2.726896047592163,750.3228759765625,5.721028159765008e+19,971.6220092773438,1.6778165359571108e+18,3.50707745552063,0.4423954486846924,1.5491520166397097,NT,3.983781576156616,1.82884681224823,1003.12939453125,-50.22750473022461,-0.000667882617563,-0.0004368062363937,192939.546875,-185.9200897216797,0.3286776542663574,1.264403223991394
